 customer_id,gender,age,income,tenure_months,monthly_spend,num_tickets_raised,membership_tier,churn
031202084,M,40,82363,9,204476,4,bronze,true
051500614,M,41,189928,24,164418,8,silver,true
071923543,M,56,36651,15,101343,3,silver,false
071925224,F,62,146900,15,171740,1,gold,false
091109994,F,31,73789,6,170576,5,bronze,false
062001209,M,56,172116,11,119065,10,silver,false
121142850,F,33,91410,18,203905,4,gold,false
075904092,F,58,41648,23,48957,10,bronze,true
083986662,M,55,180317,13,129259,4,bronze,true
067092640,M,70,138789,7,50258,4,gold,false
271972718,F,56,109386,18,145446,7,gold,false
101010672,F,53,85603,22,174536,5,silver,true
064101576,M,45,166006,1,137256,8,gold,true
122105249,M,63,167599,14,132151,6,silver,true
031301053,M,51,159380,7,92474,8,bronze,true
103104874,F,35,143199,17,173862,4,silver,false
065200722,F,68,146097,2,112465,7,silver,false
243373222,F,60,84526,1,167625,7,gold,true
101101439,F,45,69951,3,145130,1,silver,true
055000372,F,70,121398,14,127615,8,gold,false
051903761,F,67,95043,5,107089,3,bronze,false
022310422,M,42,169133,8,149172,10,silver,true
053112042,M,18,199229,5,210281,7,bronze,false
102001017,M,67,192867,13,93175,10,bronze,true
065302358,M,35,179370,11,140670,1,silver,true
111321717,M,38,78168,10,76375,4,gold,false
111916326,M,40,124602,13,163853,6,gold,false
122203507,M,49,44364,1,124341,3,gold,false
071004420,M,18,172489,17,106606,1,bronze,false
031301532,F,69,69509,21,120631,6,bronze,false
102307164,F,56,32377,16,78930,2,silver,true
053111988,M,46,51047,21,171012,4,silver,true
063116588,F,30,59705,4,163297,6,bronze,true
221370878,M,21,170487,21,181850,3,gold,true
254070132,F,38,179256,8,45995,8,bronze,true
051401331,M,62,47368,4,155267,7,silver,true
075072157,F,51,188574,5,181312,6,gold,false
211871691,M,38,189908,19,110429,8,silver,true
041201994,F,53,125184,3,215751,1,bronze,true
111324293,M,66,147775,8,82227,4,silver,true
122402324,F,54,111880,20,106373,7,silver,false
055001766,M,34,85737,9,41673,9,silver,false
051405188,M,35,110919,16,206833,8,silver,true
031300465,F,39,83166,6,155869,5,silver,false
111925359,F,66,63769,19,186634,1,silver,true
083908174,F,36,103173,10,57515,9,silver,true
042212050,M,28,107212,7,174152,1,silver,false
243373442,F,53,33098,1,167732,4,silver,false
075911616,F,39,77047,1,120777,4,gold,false
121181730,F,36,166606,14,143372,8,silver,true
114922265,F,52,61869,10,138953,4,bronze,false
062204132,F,35,180042,20,122102,4,bronze,false
121100782,F,57,182900,19,77667,10,gold,false
043300738,F,42,75706,19,65603,1,gold,false
122239335,F,55,57977,20,172761,4,gold,false
061205475,F,24,153962,15,55129,2,silver,true
121000497,F,34,51291,1,168609,9,silver,false
103107046,F,35,134268,16,66757,6,gold,false
071924319,F,46,71981,4,121169,2,bronze,true
102101496,F,35,136206,11,135508,5,gold,false
021307708,M,38,142559,15,123571,10,silver,true
101102548,F,18,37047,14,197823,7,bronze,false
053201814,F,35,185656,19,122384,5,gold,false
111322813,F,34,51057,12,165447,8,bronze,true
031918938,F,19,39678,23,91076,9,gold,true
041203824,F,48,170703,4,166096,9,bronze,false
042202219,M,42,45914,9,170872,6,bronze,false
043305092,F,28,36645,9,157224,9,bronze,false
072412176,F,69,158162,3,111328,2,silver,true
123206781,F,61,153886,18,152004,2,gold,false
091803290,M,20,122095,7,46056,1,gold,false
041202922,F,21,65378,24,150699,5,gold,true
061003787,F,23,197244,12,188258,5,silver,false
042101268,F,56,53307,1,115636,6,silver,true
211370257,M,38,157089,1,48016,10,bronze,false
061102701,M,70,75803,19,154040,9,silver,false
092905278,F,69,94932,6,44275,9,bronze,false
101104041,F,65,33337,7,42833,7,bronze,false
211179995,F,38,48431,17,98685,3,silver,false
053203210,F,62,49176,13,124524,10,silver,false
103107402,F,26,106602,12,107261,8,gold,true
071102322,F,55,46061,22,174211,7,silver,false
062202998,F,41,84715,22,153490,8,silver,true
081304615,M,34,197227,2,89690,3,gold,true
021300640,F,68,119229,6,95383,6,silver,false
063105405,M,62,167599,1,90816,8,bronze,false
074908594,F,59,57991,15,107672,3,silver,false
083902154,F,70,84832,14,99256,2,silver,true
104112849,F,29,146987,11,147078,3,bronze,false
061119464,M,57,70345,1,168677,3,bronze,true
072403907,F,67,93935,22,176734,10,bronze,false
011103093,F,52,63108,18,177097,1,silver,true
091205733,M,40,89139,22,46880,4,bronze,false
071119865,F,32,184495,3,106375,2,silver,true
